index,LINEA,estacion_actual,siguiente_estacion,A2A_n,A2A_p50,A2A_p10,A2A_p25,A2A_p75,A2A_p90,A2A_mean_trim10,A2A_std,A2A_discard_ratio,D2A_n,D2A_p50,D2A_p10,D2A_p25,D2A_p75,D2A_p90,D2A_mean_trim10,D2A_std,D2A_discard_ratio,ETA_usuario_s,ETA_operativo_s,ETA_sugerido_s
19,Linea_1,CORREOS,MERCADO CENTRAL,97.0,12.0,4.0,8.0,30.0,60.0,19.154929577464788,19.699879982320443,0.1030927835051546,16.0,10.0,3.0,4.5,492.0,1165.3999999999999,262.15384615384613,524.4743581729734,0.0625,12.0,10.0,12.0
20,Linea_1,CORREOS,PASEO DE LAS LETRAS,126.0,426.0,254.8,360.0,525.25,709.7,442.2826086956522,173.95809138808457,0.09523809523809523,39.0,120.0,35.800000000000004,60.0,173.0,217.4,115.96774193548387,74.54585222588902,0.05128205128205132,426.0,120.0,426.0
21,Linea_1,CORREOS,SAN SEBASTIÁN,1.0,245.0,245.0,245.0,245.0,245.0,245.0,,0.0,1.0,185.0,185.0,185.0,185.0,185.0,185.0,,0.0,245.0,185.0,245.0
22,Linea_1,CORREOS,SUR 2,1.0,51643.0,51643.0,51643.0,51643.0,51643.0,51643.0,,0.0,1.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,,0.0,51643.0,4198.0,51643.0
23,Linea_1,GÓMEZ CARRILLO,BEATAS DE BELÉN,2.0,497.5,415.5,446.25,548.75,579.5,497.5,144.95689014324225,0.0,1.0,300.0,300.0,300.0,300.0,300.0,300.0,,0.0,497.5,300.0,497.5
24,Linea_1,GÓMEZ CARRILLO,MERCADO CENTRAL,3.0,690.0,467.6,551.0,926.0,1067.6,754.6666666666666,379.1587178653991,0.0,0.0,,,,,,,,,690.0,,690.0
25,Linea_1,GÓMEZ CARRILLO,PARQUE CENTENARIO,101.0,294.5,120.0,205.5,360.0,404.70000000000016,274.8125,102.99103815086991,0.00990099009900991,36.0,61.0,60.0,60.0,106.0,120.0,76.75862068965517,34.62929735490049,0.02777777777777779,294.5,61.0,294.5
26,Linea_1,GÓMEZ CARRILLO,PASEO DE LAS LETRAS,11.0,188.5,102.4,142.25,277.25,346.8,208.0,96.7416375943908,0.09090909090909094,10.0,92.0,60.0,66.0,224.0,251.4,137.11111111111111,88.84036870202144,0.09999999999999998,188.5,92.0,188.5
27,Linea_1,GÓMEZ CARRILLO,SAN AGUSTÍN,42785.0,180.0,120.0,120.0,191.0,240.0,167.58990110878034,51.19007225837051,0.025078882786023105,32655.0,68.0,60.0,60.0,120.0,146.0,85.95567648566583,41.564324935029006,0.02933700811514317,180.0,68.0,180.0
28,Linea_1,GÓMEZ CARRILLO,SAN SEBASTIÁN,31.0,477.5,383.8,420.25,579.25,643.8000000000001,495.0416666666667,105.09929623439692,0.032258064516129004,9.0,76.0,15.4,40.0,94.0,130.0,72.125,47.39330121441215,0.11111111111111116,477.5,76.0,477.5
29,Linea_1,GÓMEZ CARRILLO,SUR 2,508.0,13.0,4.0,7.0,37.75,60.0,21.214285714285715,21.198827118523162,0.003937007874015741,44.0,7.0,2.0,3.75,11.25,12.700000000000003,7.361111111111111,4.626596061956068,0.0,13.0,7.0,13.0
